concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1617-,500,0.886,0.886,0.9023359999999999,0.88,0.9288888888888889,0.836,1.0,1.0,0.01,0.886,0.936,0.974,0.99,0.992,0.508,0.5151
body_part,entities,True,1850-,500,0.938,0.938,0.961568,0.937625754527163,0.9433198380566802,0.932,0.998,0.99992,0.01,0.938,0.954,0.96,0.974,0.98,0.514,0.5133000000000001
cognition,verbs,True,620+,500,0.918,0.9179999999999999,0.9262079999999998,0.9125799573560768,0.9771689497716894,0.856,1.0,1.0,0.01,0.918,0.952,0.982,0.98,0.988,0.494,0.515
color,attributes,True,632+,500,0.936,0.9359999999999999,0.978016,0.937984496124031,0.9097744360902256,0.968,1.0,1.0,0.01,0.936,0.972,0.982,0.986,0.984,0.492,0.5131
desire_intention,verbs,True,372+,500,0.884,0.884,0.89288,0.8722466960352423,0.9705882352941176,0.792,1.0,1.0,0.01,0.884,0.884,0.918,0.986,0.986,0.498,0.5105999999999999
eating_drinking,verbs,True,462+,500,0.898,0.8979999999999999,0.9069119999999999,0.8898488120950324,0.9671361502347418,0.824,1.0,1.0,0.01,0.898,0.918,0.984,0.984,0.984,0.498,0.5041999999999999
family_relation,entities,True,1029-,500,0.97,0.97,0.988528,0.9700598802395209,0.9681274900398407,0.972,1.0,1.0,0.01,0.97,0.966,0.974,0.97,0.972,0.498,0.5099
female_pronoun,grammar,True,210+,500,0.678,0.6779999999999999,0.655984,0.6596194503171248,0.6995515695067265,0.624,1.0,1.0,0.01,0.678,0.818,0.82,0.814,0.816,0.53,0.5023
first_person_pronoun,grammar,True,1444+,500,0.938,0.938,0.9448639999999999,0.9350104821802935,0.9823788546255506,0.892,1.0,1.0,0.01,0.938,0.946,0.946,0.966,0.972,0.514,0.5135
food_drink,entities,True,462+,500,0.884,0.884,0.896392,0.8801652892561983,0.9102564102564102,0.852,0.998,1.0,0.01,0.884,0.906,0.934,0.936,0.936,0.52,0.5095999999999999
helping_prosocial,verbs,True,327-,500,0.724,0.724,0.72864,0.6310160427807486,0.9516129032258065,0.472,1.0,1.0,0.01,0.724,0.84,0.916,0.93,0.93,0.504,0.5129
human_person,entities,True,908-,500,0.916,0.9159999999999999,0.965736,0.9186046511627907,0.8909774436090225,0.948,1.0,1.0,0.01,0.916,0.922,0.926,0.928,0.954,0.518,0.5225000000000002
inside_dialogue,grammar,True,683+,500,0.728,0.728,0.728328,0.6363636363636364,0.9596774193548387,0.476,0.996,0.9998239999999999,0.01,0.728,0.776,0.85,0.89,0.908,0.5,0.5072000000000001
male_pronoun,grammar,True,210+,500,0.668,0.6679999999999999,0.689632,0.6422413793103449,0.6962616822429907,0.596,1.0,1.0,0.01,0.668,0.67,0.694,0.73,0.73,0.502,0.5067999999999999
motion,verbs,True,628+,500,0.792,0.792,0.807608,0.755868544600939,0.9147727272727273,0.644,1.0,1.0,0.01,0.792,0.906,0.97,0.992,0.994,0.488,0.5062
nature_weather,entities,True,1947+,500,0.758,0.758,0.782096,0.7363834422657952,0.8086124401913876,0.676,1.0,1.0,0.01,0.758,0.756,0.806,0.86,0.866,0.514,0.5094999999999998
negation,grammar,True,937-,500,0.912,0.9119999999999999,0.918608,0.907563025210084,0.9557522123893806,0.864,1.0,1.0,0.01,0.912,0.926,0.968,0.978,0.978,0.474,0.5224
negative_emotion,attributes,True,739+,500,0.844,0.844,0.8900959999999999,0.84765625,0.8282442748091603,0.868,1.0,1.0,0.01,0.844,0.902,0.93,0.96,0.956,0.506,0.5195000000000001
perception,verbs,True,1784-,500,0.748,0.748,0.7515040000000001,0.6701570680628273,0.9696969696969697,0.512,1.0,1.0,0.01,0.748,0.93,0.96,0.962,0.972,0.474,0.5138
place_location,entities,True,67+,500,0.896,0.896,0.935696,0.8980392156862745,0.8807692307692307,0.916,1.0,1.0,0.01,0.896,0.926,0.94,0.958,0.958,0.502,0.522
positive_emotion,attributes,True,811-,500,0.824,0.8240000000000001,0.863248,0.84,0.77,0.924,1.0,1.0,0.01,0.824,0.85,0.84,0.866,0.91,0.492,0.5152
size,attributes,True,1510-,500,0.9,0.9,0.944544,0.9007936507936508,0.8937007874015748,0.908,1.0,1.0,0.01,0.9,0.95,0.948,0.946,0.948,0.496,0.5048000000000001
speech,verbs,True,1146-,500,0.83,0.83,0.8431519999999999,0.806378132118451,0.9365079365079365,0.708,1.0,1.0,0.01,0.83,0.916,0.93,0.964,0.97,0.516,0.5142
toy_play_object,entities,True,1263-,500,0.76,0.76,0.762104,0.7073170731707317,0.90625,0.58,1.0,1.0,0.01,0.76,0.804,0.81,0.86,0.852,0.496,0.5088999999999999
