concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1321+,1.0,0.346,0.273936,1.0,1.0,8.308371543884277,-0.0076724812388420105,0.782,250,0.4,0.068,0.17,0.994,0.999888,0.396,0.99,0.19139219571127114,0.0,9.064961333048474,9.184060456221149
body_part,entities,1196-,0.998,0.614,0.64,0.998,0.99992,8.060127258300781,-0.0028297866228967905,0.694,249,0.6104417670682731,0.3172690763052209,0.5197368421052632,0.992,0.999536,0.6024096385542169,0.9868421052631579,0.17094635290192986,0.027030294610285617,10.184766259058811,10.211490070109768
cognition,verbs,505-,1.0,0.496,0.49227200000000004,1.0,1.0,7.706612586975098,-0.0005973788211122155,0.682,250,0.628,0.296,0.4713375796178344,1.0,1.0,0.628,1.0,0.18135033102478998,0.0,9.928195412530854,10.093369962591197
color,attributes,1862-,1.0,0.614,0.7087200000000001,1.0,1.0,7.443953037261963,0.0008823716780170798,0.972,250,0.04,0.016,0.4,0.996,0.999968,0.036,0.9,0.1540881151749657,0.09669790043797996,11.751289505747147,11.948586624864234
desire_intention,verbs,1419+,1.0,0.6,0.617024,1.0,1.0,7.8772196769714355,0.011052314192056656,0.724,250,0.552,0.324,0.5869565217391305,0.998,1.0,0.552,1.0,0.1795027625434957,0.0,10.102329023734416,10.193352593243798
eating_drinking,verbs,1009+,1.0,0.572,0.691632,1.0,1.0,7.781539440155029,-0.009099001064896584,0.842,250,0.308,0.248,0.8051948051948052,0.998,1.0,0.308,1.0,0.1811322845998462,0.12164244435213824,10.263252662020129,10.34612400425127
family_relation,entities,24-,1.0,0.332,0.30334400000000006,1.0,1.0,8.599014282226562,0.008646219968795776,0.934,247,0.004048582995951417,0.004048582995951417,1.0,0.988,0.998544,0.0,0.0,0.16765645034859533,0.0,10.306512481602752,10.40847760081698
female_pronoun,grammar,2014-,1.0,0.476,0.48105599999999993,1.0,1.0,8.961699485778809,-0.018336672335863113,0.684,250,0.38,0.264,0.6947368421052632,0.828,0.900384,0.34,0.8947368421052632,0.17895139837484356,0.0,9.951396733822026,10.0959578520344
first_person_pronoun,grammar,769-,1.0,0.474,0.47910400000000003,1.0,1.0,8.507467269897461,-0.01533905416727066,0.67,250,0.652,0.348,0.5337423312883436,0.984,0.999104,0.628,0.9631901840490797,0.17404659495798916,0.0,10.41492191012048,10.58438763800392
food_drink,entities,751-,1.0,0.56,0.6026879999999999,1.0,1.0,8.157210350036621,-0.004918701481074095,0.812,250,0.128,0.076,0.59375,0.986,0.999296,0.12,0.9375,0.15257983224549837,0.059961965784926505,11.619292260928821,11.82874616831624
