concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1321+,500,0.782,0.782,0.786448,0.7334963325183375,0.9433962264150944,0.6,1.0,1.0,0.01,0.782,0.82,0.83,0.876,0.916,0.488,0.5074000000000002
body_part,entities,True,1196-,500,0.694,0.694,0.694,0.5590778097982709,1.0,0.388,0.998,0.99992,0.01,0.694,0.74,0.884,0.936,0.952,0.48,0.5095000000000001
cognition,verbs,True,505-,500,0.682,0.6819999999999999,0.6832159999999999,0.5391304347826087,0.9789473684210527,0.372,1.0,1.0,0.01,0.682,0.84,0.938,0.94,0.954,0.504,0.5044
color,attributes,True,1862-,500,0.972,0.972,0.9795679999999999,0.97165991902834,0.9836065573770492,0.96,1.0,1.0,0.01,0.972,0.974,0.974,0.978,0.98,0.514,0.5045
desire_intention,verbs,True,1419+,500,0.724,0.724,0.724,0.6187845303867403,1.0,0.448,1.0,1.0,0.01,0.724,0.842,0.862,0.872,0.876,0.49,0.5033000000000001
eating_drinking,verbs,True,1009+,500,0.842,0.842,0.844704,0.8141176470588235,0.9885714285714285,0.692,1.0,1.0,0.01,0.842,0.896,0.902,0.906,0.936,0.502,0.5059
family_relation,entities,True,24-,500,0.934,0.9339999999999999,0.9795039999999999,0.9346534653465347,0.9254901960784314,0.944,1.0,1.0,0.01,0.934,0.948,0.942,0.97,0.97,0.492,0.5033
female_pronoun,grammar,True,2014-,500,0.684,0.6839999999999999,0.6789040000000001,0.6623931623931624,0.7110091743119266,0.62,1.0,1.0,0.01,0.684,0.744,0.748,0.75,0.732,0.532,0.5037
first_person_pronoun,grammar,True,769-,500,0.67,0.6699999999999999,0.670736,0.5132743362831859,0.9775280898876404,0.348,1.0,1.0,0.01,0.67,0.744,0.834,0.916,0.92,0.514,0.5058
food_drink,entities,True,751-,500,0.812,0.812,0.8652,0.8226415094339623,0.7785714285714286,0.872,1.0,1.0,0.01,0.812,0.84,0.866,0.886,0.892,0.536,0.5046000000000002
helping_prosocial,verbs,True,875-,500,0.77,0.77,0.76976,0.7088607594936709,0.9655172413793104,0.56,1.0,1.0,0.01,0.77,0.862,0.912,0.916,0.92,0.508,0.5093
human_person,entities,True,24-,500,0.714,0.714,0.723488,0.6361323155216285,0.8741258741258742,0.5,1.0,1.0,0.01,0.714,0.73,0.822,0.86,0.876,0.488,0.5056999999999998
inside_dialogue,grammar,True,549-,500,0.548,0.548,0.5486160000000001,0.19285714285714287,0.9,0.108,0.996,0.999584,0.01,0.548,0.55,0.594,0.654,0.678,0.494,0.5047
male_pronoun,grammar,True,2014-,500,0.67,0.6699999999999999,0.6672800000000001,0.6420824295010846,0.7014218009478673,0.592,1.0,1.0,0.01,0.67,0.67,0.668,0.7,0.694,0.51,0.5029000000000001
motion,verbs,True,1439+,500,0.734,0.734,0.734,0.6376021798365122,1.0,0.468,1.0,1.0,0.01,0.734,0.882,0.964,0.97,0.97,0.506,0.5042
nature_weather,entities,True,554-,500,0.762,0.762,0.77192,0.7313769751693002,0.8393782383419689,0.648,1.0,1.0,0.01,0.762,0.798,0.816,0.878,0.886,0.502,0.5076999999999999
negation,grammar,True,161-,500,0.728,0.728,0.727096,0.6402116402116402,0.9453125,0.484,1.0,1.0,0.01,0.728,0.832,0.908,0.912,0.966,0.51,0.5144
negative_emotion,attributes,True,1092-,500,0.794,0.794,0.814272,0.7706013363028953,0.8693467336683417,0.692,1.0,1.0,0.01,0.794,0.828,0.844,0.888,0.888,0.52,0.5074
perception,verbs,True,1013-,500,0.604,0.604,0.604,0.3443708609271523,1.0,0.208,1.0,1.0,0.01,0.604,0.702,0.896,0.906,0.91,0.492,0.5069999999999999
place_location,entities,True,652+,500,0.732,0.732,0.733408,0.6378378378378379,0.9833333333333333,0.472,1.0,1.0,0.01,0.732,0.782,0.868,0.892,0.892,0.516,0.5048999999999999
positive_emotion,attributes,True,1996+,500,0.708,0.708,0.706864,0.6054054054054054,0.9333333333333333,0.448,1.0,1.0,0.01,0.708,0.794,0.788,0.888,0.944,0.462,0.5045000000000001
size,attributes,True,1750-,500,0.732,0.732,0.736304,0.6528497409326425,0.9264705882352942,0.504,1.0,1.0,0.01,0.732,0.816,0.806,0.862,0.864,0.5,0.5062
speech,verbs,True,1279-,500,0.846,0.846,0.846,0.817966903073286,1.0,0.692,1.0,1.0,0.01,0.846,0.886,0.92,0.934,0.954,0.502,0.5058
toy_play_object,entities,True,282-,500,0.696,0.696,0.6908159999999999,0.7054263565891473,0.6842105263157895,0.728,1.0,1.0,0.01,0.696,0.664,0.708,0.752,0.776,0.484,0.5029
