concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,404+,1.0,0.484,0.4723200000000001,1.0,1.0,9.077823638916016,-0.010683213360607624,0.82,249,0.23694779116465864,0.14056224899598393,0.5932203389830508,0.996,0.999776,0.23694779116465864,1.0,0.05696038935372279,0.0035057707726751444,38.22352217720487,38.25022776528781
body_part,entities,1158-,0.998,0.366,0.34784000000000004,0.998,1.0,8.702164649963379,0.00853409431874752,0.74,249,0.44176706827309237,0.20883534136546184,0.4727272727272727,0.996,0.9993759999999999,0.43775100401606426,0.990909090909091,0.05890896578848511,0.005264490141891321,38.90367054183366,38.70497917253968
cognition,verbs,1931+,1.0,0.606,0.690448,1.0,1.0,7.994258403778076,0.025786666199564934,0.846,250,0.276,0.188,0.6811594202898551,1.0,1.0,0.276,1.0,0.0568240513885896,0.037902375693730575,42.78429006964954,42.71083572454787
color,attributes,988-,1.0,0.682,0.7445759999999999,1.0,1.0,7.889554500579834,0.0130159268155694,0.786,249,0.14056224899598393,0.08835341365461848,0.6285714285714286,0.994,1.0,0.14056224899598393,1.0,0.05092177397350631,0.004029946465379132,41.95977623488136,42.036140352496865
desire_intention,verbs,1835-,1.0,0.614,0.688864,1.0,1.0,8.084748268127441,0.01422638725489378,0.766,250,0.44,0.42,0.9545454545454546,0.998,0.999984,0.436,0.990909090909091,0.07188483752818423,0.04912641727694656,40.377296811758725,40.6033470704763
eating_drinking,verbs,2027+,1.0,0.386,0.303376,1.0,1.0,8.23826789855957,-0.0035697713028639555,0.87,250,0.256,0.136,0.53125,1.0,1.0,0.256,1.0,0.055415411623578124,0.0034998824440892248,38.51695646469729,38.74978441168985
family_relation,entities,315+,1.0,0.552,0.552432,1.0,1.0,9.025482177734375,0.0111027667298913,0.87,247,0.012145748987854251,0.008097165991902834,0.6666666666666666,0.984,0.9992800000000001,0.004048582995951417,0.3333333333333333,0.05439820739848236,0.02229951994035044,40.771542871834505,40.35036960768678
female_pronoun,grammar,2014-,1.0,0.504,0.521488,1.0,1.0,9.510995864868164,0.007795748766511679,0.66,250,0.376,0.252,0.6702127659574468,0.926,0.977792,0.356,0.9468085106382979,0.05817030785680744,0.0,40.220700345499345,40.08525450864564
first_person_pronoun,grammar,142-,1.0,0.47,0.44464000000000004,1.0,1.0,9.05540943145752,0.0005578026175498962,0.752,250,0.324,0.088,0.2716049382716049,0.992,0.9995839999999999,0.32,0.9876543209876543,0.058534015115896634,0.0,37.354996825613256,37.6310969735596
food_drink,entities,2027+,1.0,0.396,0.35731199999999996,1.0,1.0,8.865622520446777,-0.010917884297668934,0.956,250,0.052,0.032,0.6153846153846154,0.992,0.999952,0.044,0.8461538461538461,0.05731037806546925,0.0,39.686455556560844,39.85252822017848
helping_prosocial,verbs,1636+,1.0,0.368,0.29643200000000003,1.0,1.0,8.054045677185059,0.01810253970324993,0.74,250,0.26,0.1,0.38461538461538464,0.998,0.999968,0.256,0.9846153846153847,0.055097766882134976,0.003906298339824616,40.23626803152826,40.205461432614435
human_person,entities,315+,1.0,0.446,0.43376,1.0,1.0,8.99231243133545,-0.0006786723388358951,0.724,249,0.42570281124497994,0.1927710843373494,0.4528301886792453,0.994,0.999488,0.42570281124497994,1.0,0.059218654134031636,0.019796802501072144,38.858736097094926,38.90621660349911
inside_dialogue,grammar,1880-,0.996,0.5,0.470608,0.996,0.99976,8.326844215393066,0.0041066925041377544,0.568,246,0.8373983739837398,0.5284552845528455,0.6310679611650486,0.916,0.976848,0.7560975609756098,0.9029126213592233,0.06000809389757429,0.0,38.884932265600895,38.64136743941157
male_pronoun,grammar,2014-,1.0,0.534,0.538048,1.0,1.0,9.539164543151855,0.0017147293547168374,0.658,250,0.396,0.188,0.47474747474747475,0.896,0.953664,0.364,0.9191919191919192,0.07201432586168241,0.04835243899179063,37.28448748083194,37.53472230382521
motion,verbs,1294-,1.0,0.506,0.521424,1.0,1.0,8.234965324401855,0.019792867824435234,0.732,249,0.4979919678714859,0.3453815261044177,0.6935483870967742,1.0,1.0,0.4979919678714859,1.0,0.05963042941470103,0.0,38.48504038444289,38.543888404000775
nature_weather,entities,1073+,1.0,0.54,0.518496,1.0,1.0,8.673511505126953,0.002631961368024349,0.744,250,0.376,0.076,0.20212765957446807,0.996,0.999712,0.372,0.9893617021276596,0.05296572427026217,0.01760697121420021,41.19845967974488,41.45082613025127
negation,grammar,987+,1.0,0.43,0.46945600000000004,1.0,1.0,8.002317428588867,0.001738915452733636,0.772,250,0.416,0.108,0.25961538461538464,0.998,1.0,0.416,1.0,0.0541089867652967,0.013765893971278316,40.596113306474884,40.75155999977138
negative_emotion,attributes,955+,1.0,0.396,0.23022399999999998,1.0,1.0,8.12865924835205,0.00577556760981679,0.916,250,0.044,0.012,0.2727272727272727,0.996,0.999888,0.044,1.0,0.05958425962864387,0.0,36.632507775804086,37.11989007176367
perception,verbs,612-,1.0,0.38,0.330112,1.0,1.0,8.292287826538086,0.01611141674220562,0.812,250,0.152,0.028,0.18421052631578946,1.0,1.0,0.152,1.0,0.07574818728740129,0.015659438727923962,36.19195808650629,36.0209324005258
place_location,entities,979-,1.0,0.494,0.45993599999999996,1.0,1.0,8.932612419128418,-0.010656453669071198,0.766,249,0.30522088353413657,0.14859437751004015,0.4868421052631579,0.996,0.999968,0.30522088353413657,1.0,0.07010829179064218,0.00043140156499444753,35.37421387431457,35.68996590431895
positive_emotion,attributes,1683+,1.0,0.468,0.47105600000000003,1.0,1.0,8.12772274017334,0.008686020039021969,0.754,247,0.4777327935222672,0.23481781376518218,0.4915254237288136,0.996,1.0,0.4777327935222672,1.0,0.05364974281677783,0.0,41.365574279383324,41.384483106728524
size,attributes,1567-,1.0,0.404,0.38004800000000005,1.0,1.0,7.943960666656494,0.016512375324964523,0.676,250,0.448,0.056,0.125,0.994,0.9998239999999999,0.444,0.9910714285714286,0.06665310455589606,0.015330574689039993,39.023760676409026,39.10682586463471
speech,verbs,1156-,1.0,0.51,0.525888,1.0,1.0,8.192473411560059,0.02121790312230587,0.844,250,0.292,0.184,0.6301369863013698,0.998,0.99992,0.288,0.9863013698630136,0.05423223838570829,0.01714092655154307,41.369494703624625,41.45531923841408
toy_play_object,entities,1956-,1.0,0.608,0.6504639999999999,1.0,1.0,8.855955123901367,0.0017672659596428275,0.704,247,0.3076923076923077,0.20647773279352227,0.6710526315789473,0.968,0.996992,0.29554655870445345,0.9605263157894737,0.05484845708858617,0.02612255982948056,41.171387673061815,41.442111509495504
