concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,404+,500,0.82,0.8200000000000001,0.825824,0.8085106382978723,0.8636363636363636,0.76,1.0,1.0,0.01,0.82,0.838,0.882,0.94,0.956,0.51,0.5129
body_part,entities,True,1158-,500,0.74,0.74,0.7558,0.6813725490196079,0.879746835443038,0.556,0.998,1.0,0.01,0.74,0.76,0.87,0.962,0.964,0.524,0.5118
cognition,verbs,True,1931+,500,0.846,0.846,0.8534079999999999,0.8246013667425968,0.9576719576719577,0.724,1.0,1.0,0.01,0.846,0.846,0.906,0.978,0.982,0.5,0.5241999999999999
color,attributes,True,988-,500,0.786,0.786,0.8593759999999999,0.8,0.7508771929824561,0.856,1.0,1.0,0.01,0.786,0.838,0.912,0.96,0.956,0.498,0.5113
desire_intention,verbs,True,1835-,500,0.766,0.766,0.7738240000000001,0.7052896725440806,0.9523809523809523,0.56,1.0,1.0,0.01,0.766,0.766,0.9,0.948,0.954,0.47,0.5154000000000001
eating_drinking,verbs,True,2027+,500,0.87,0.87,0.8713599999999999,0.851258581235698,0.9946524064171123,0.744,1.0,1.0,0.01,0.87,0.884,0.91,0.92,0.98,0.498,0.5124000000000001
family_relation,entities,True,315+,500,0.87,0.87,0.922432,0.8761904761904762,0.8363636363636363,0.92,1.0,1.0,0.01,0.87,0.926,0.95,0.954,0.956,0.476,0.5122
female_pronoun,grammar,True,2014-,500,0.66,0.6599999999999999,0.67968,0.6473029045643154,0.6724137931034483,0.624,1.0,1.0,0.01,0.66,0.776,0.814,0.828,0.842,0.534,0.5115000000000001
first_person_pronoun,grammar,True,142-,500,0.752,0.752,0.8046880000000001,0.7316017316017316,0.7971698113207547,0.676,1.0,1.0,0.01,0.752,0.854,0.914,0.914,0.918,0.476,0.5118000000000001
food_drink,entities,True,2027+,500,0.956,0.956,0.970104,0.9556451612903226,0.9634146341463414,0.948,1.0,1.0,0.01,0.956,0.956,0.95,0.956,0.958,0.506,0.51
helping_prosocial,verbs,True,1636+,500,0.74,0.74,0.77664,0.74,0.74,0.74,1.0,1.0,0.01,0.74,0.786,0.858,0.92,0.926,0.474,0.5096
human_person,entities,True,315+,500,0.724,0.724,0.737672,0.6745283018867925,0.8218390804597702,0.572,1.0,1.0,0.01,0.724,0.766,0.858,0.888,0.88,0.482,0.5079
inside_dialogue,grammar,True,1880-,500,0.568,0.568,0.568896,0.2702702702702703,0.8695652173913043,0.16,0.996,0.99976,0.01,0.568,0.654,0.734,0.794,0.81,0.484,0.508
male_pronoun,grammar,True,2014-,500,0.658,0.6579999999999999,0.6538160000000001,0.6369426751592356,0.6787330316742082,0.6,1.0,1.0,0.01,0.658,0.658,0.658,0.614,0.636,0.502,0.5067999999999999
motion,verbs,True,1294-,500,0.732,0.732,0.739912,0.6510416666666666,0.9328358208955224,0.5,1.0,1.0,0.01,0.732,0.782,0.83,0.892,0.898,0.524,0.5311
nature_weather,entities,True,1073+,500,0.744,0.744,0.7500000000000001,0.7090909090909091,0.8210526315789474,0.624,1.0,1.0,0.01,0.744,0.79,0.818,0.884,0.894,0.51,0.5136999999999999
negation,grammar,True,987+,500,0.772,0.772,0.771424,0.7192118226600985,0.9358974358974359,0.584,1.0,1.0,0.01,0.772,0.876,0.926,0.942,0.976,0.51,0.529
negative_emotion,attributes,True,955+,500,0.916,0.9159999999999999,0.9598,0.9192307692307692,0.8851851851851852,0.956,1.0,1.0,0.01,0.916,0.934,0.94,0.96,0.964,0.5,0.51
perception,verbs,True,612-,500,0.812,0.812,0.845168,0.8185328185328186,0.7910447761194029,0.848,1.0,1.0,0.01,0.812,0.83,0.87,0.92,0.926,0.488,0.5146999999999999
place_location,entities,True,979-,500,0.766,0.766,0.790928,0.7473002159827213,0.812206572769953,0.692,1.0,1.0,0.01,0.766,0.784,0.878,0.936,0.944,0.518,0.5141000000000001
positive_emotion,attributes,True,1683+,500,0.754,0.754,0.754784,0.6771653543307087,0.9847328244274809,0.516,1.0,1.0,0.01,0.754,0.86,0.87,0.886,0.926,0.458,0.5107999999999999
size,attributes,True,1567-,500,0.676,0.676,0.7156,0.6301369863013698,0.7340425531914894,0.552,1.0,1.0,0.01,0.676,0.89,0.932,0.94,0.936,0.494,0.5196000000000001
speech,verbs,True,1156-,500,0.844,0.844,0.849416,0.8194444444444444,0.9725274725274725,0.708,1.0,1.0,0.01,0.844,0.836,0.87,0.95,0.948,0.478,0.5164
toy_play_object,entities,True,1956-,500,0.704,0.704,0.70476,0.6979591836734694,0.7125,0.684,1.0,1.0,0.01,0.704,0.714,0.724,0.76,0.768,0.456,0.5144000000000001
