concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,652+,500,0.832,0.8320000000000001,0.920864,0.8365758754863813,0.8143939393939394,0.86,0.998,1.0,0.01,0.832,0.928,0.952,0.96,0.97,0.482,0.5183
body_part,entities,True,15+,500,0.784,0.784,0.791512,0.7339901477832512,0.9551282051282052,0.596,0.998,1.0,0.01,0.784,0.91,0.95,0.972,0.966,0.496,0.5302
cognition,verbs,True,283-,500,0.922,0.9219999999999999,0.940784,0.9195876288659793,0.948936170212766,0.892,1.0,1.0,0.01,0.922,0.97,0.99,0.994,0.994,0.504,0.5292999999999999
color,attributes,True,1384+,500,0.906,0.906,0.926736,0.9042769857433809,0.921161825726141,0.888,1.0,1.0,0.01,0.906,0.946,0.95,0.98,0.982,0.496,0.5103
desire_intention,verbs,True,949-,500,0.858,0.858,0.897056,0.8559837728194726,0.8683127572016461,0.844,1.0,1.0,0.01,0.858,0.93,0.97,0.99,0.992,0.49,0.5246
eating_drinking,verbs,True,545+,500,0.85,0.85,0.8551679999999999,0.8283752860411899,0.9679144385026738,0.724,1.0,1.0,0.01,0.85,0.876,0.912,0.91,0.922,0.498,0.5449999999999999
family_relation,entities,True,701+,500,0.886,0.886,0.9166880000000001,0.8862275449101796,0.8844621513944223,0.888,1.0,1.0,0.01,0.886,0.888,0.898,0.918,0.944,0.482,0.5164000000000001
female_pronoun,grammar,True,1034-,500,0.746,0.746,0.745568,0.6613333333333333,0.992,0.496,1.0,1.0,0.01,0.746,0.776,0.874,0.892,0.882,0.522,0.5163
first_person_pronoun,grammar,True,1456-,500,0.796,0.796,0.8087200000000001,0.7671232876712328,0.8936170212765957,0.672,1.0,1.0,0.01,0.796,0.798,0.842,0.936,0.938,0.464,0.5313000000000001
food_drink,entities,True,45-,500,0.826,0.8260000000000001,0.885832,0.8317214700193424,0.8052434456928839,0.86,1.0,1.0,0.01,0.826,0.868,0.93,0.95,0.956,0.562,0.5161
helping_prosocial,verbs,True,2029+,500,0.732,0.732,0.7719600000000001,0.706140350877193,0.7815533980582524,0.644,1.0,1.0,0.01,0.732,0.882,0.89,0.926,0.928,0.52,0.5126999999999999
human_person,entities,True,342+,500,0.796,0.796,0.81468,0.7875,0.8217391304347826,0.756,1.0,1.0,0.1,0.796,0.792,0.84,0.862,0.872,0.504,0.5166
inside_dialogue,grammar,True,1100+,500,0.752,0.752,0.757568,0.6868686868686869,0.9315068493150684,0.544,0.996,0.99976,1.0,0.752,0.822,0.868,0.884,0.894,0.48,0.5045999999999999
male_pronoun,grammar,True,2042+,500,0.642,0.642,0.6702400000000001,0.6031042128603105,0.6766169154228856,0.544,1.0,1.0,0.01,0.642,0.7,0.698,0.78,0.786,0.508,0.5066
motion,verbs,True,1050-,500,0.916,0.916,0.936656,0.9169960474308301,0.90625,0.928,1.0,1.0,0.01,0.916,0.916,0.94,0.958,0.95,0.486,0.5286000000000001
nature_weather,entities,True,302+,500,0.796,0.796,0.8166479999999999,0.7763157894736842,0.8592233009708737,0.708,1.0,1.0,0.01,0.796,0.818,0.912,0.914,0.938,0.518,0.5216999999999999
negation,grammar,True,1363+,500,0.882,0.882,0.89608,0.8752642706131079,0.9282511210762332,0.828,1.0,1.0,0.01,0.882,0.93,0.954,0.964,0.986,0.506,0.5315
negative_emotion,attributes,True,1641+,500,0.846,0.8460000000000001,0.850752,0.835820895522388,0.8949771689497716,0.784,1.0,1.0,0.01,0.846,0.898,0.92,0.94,0.94,0.488,0.538
perception,verbs,True,1407-,500,0.836,0.8360000000000001,0.8489199999999999,0.8185840707964602,0.9158415841584159,0.74,1.0,1.0,0.01,0.836,0.89,0.908,0.924,0.924,0.496,0.5160999999999999
place_location,entities,True,538-,500,0.9,0.9,0.918032,0.8962655601659751,0.9310344827586207,0.864,1.0,1.0,0.01,0.9,0.9,0.93,0.922,0.926,0.558,0.5289
positive_emotion,attributes,True,875-,500,0.91,0.91,0.9310879999999999,0.9075975359342916,0.9324894514767933,0.884,1.0,1.0,0.01,0.91,0.91,0.926,0.934,0.932,0.488,0.51
size,attributes,True,942-,500,0.838,0.8380000000000001,0.8505280000000001,0.8280254777070064,0.8823529411764706,0.78,1.0,1.0,0.01,0.838,0.846,0.856,0.902,0.904,0.49,0.5313000000000001
speech,verbs,True,754+,500,0.914,0.9139999999999999,0.9290239999999998,0.909853249475891,0.9559471365638766,0.868,1.0,1.0,0.01,0.914,0.926,0.928,0.948,0.956,0.516,0.5374000000000001
toy_play_object,entities,True,610-,500,0.718,0.718,0.774376,0.7324478178368121,0.6967509025270758,0.772,1.0,1.0,0.01,0.718,0.806,0.828,0.852,0.856,0.452,0.5082000000000001
