concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,652+,0.998,0.614,0.666064,0.998,1.0,2.1531407833099365,0.0015799207612872124,0.832,250,0.02,0.012,0.6,0.994,0.9996639999999999,0.02,1.0,0.030820147514705975,0.009369694931488521,80.0577142856789,80.036238259856
body_part,entities,15+,0.998,0.448,0.38411200000000006,0.998,1.0,2.1037209033966064,-0.014469168148934841,0.784,249,0.40160642570281124,0.2289156626506024,0.57,0.994,0.99992,0.39759036144578314,0.99,0.03166482294819844,0.004212034187554158,78.30872733824714,78.15760318807804
cognition,verbs,283-,1.0,0.448,0.43401599999999996,1.0,1.0,2.0362606048583984,0.011191414669156075,0.922,250,0.108,0.06,0.5555555555555556,1.0,1.0,0.108,1.0,0.031174676984543338,0.0017794512313924439,79.40997170055405,79.61851027916707
color,attributes,1384+,1.0,0.564,0.691712,1.0,1.0,1.9559506177902222,0.02000313624739647,0.906,249,0.10843373493975904,0.020080321285140562,0.18518518518518517,0.994,1.0,0.10843373493975904,1.0,0.038634804118499344,0.0,74.23329450356874,74.69146128671997
desire_intention,verbs,949-,1.0,0.646,0.6727360000000001,1.0,1.0,2.0481772422790527,0.004314956720918417,0.858,249,0.15261044176706828,0.12449799196787148,0.8157894736842105,1.0,1.0,0.15261044176706828,1.0,0.030828191668543822,0.008872924376700527,85.91846841749859,85.48885673787767
eating_drinking,verbs,545+,1.0,0.564,0.6055360000000001,1.0,1.0,2.0773541927337646,0.000953619834035635,0.85,250,0.276,0.12,0.43478260869565216,1.0,1.0,0.276,1.0,0.03700424089931468,0.026128283645726794,77.68287783120078,78.02286258982929
family_relation,entities,701+,1.0,0.472,0.415008,1.0,1.0,2.1674559116363525,0.002780950628221035,0.886,245,0.09387755102040816,0.04081632653061224,0.43478260869565216,0.992,0.9998079999999999,0.09387755102040816,1.0,0.03084372413397659,0.0,78.11066962401392,78.26296279539703
female_pronoun,grammar,1034-,1.0,0.52,0.50056,1.0,1.0,2.2795472145080566,-0.007059846073389053,0.746,250,0.504,0.192,0.38095238095238093,0.928,0.97864,0.484,0.9603174603174603,0.0319079899235825,0.0,77.60357739755068,77.15458778170016
first_person_pronoun,grammar,1456-,1.0,0.568,0.602592,1.0,1.0,2.1934702396392822,-0.003040329087525606,0.796,250,0.328,0.152,0.4634146341463415,0.996,0.9999359999999999,0.324,0.9878048780487805,0.039461157933638594,0.017668976891293008,76.54686541047802,76.24585479536627
food_drink,entities,45-,1.0,0.584,0.6091680000000002,1.0,1.0,2.145620822906494,-0.011882445774972439,0.826,249,0.12048192771084337,0.09236947791164658,0.7666666666666667,1.0,1.0,0.12048192771084337,1.0,0.039022132480270554,0.004896095207162228,73.3894551469916,72.7356191121315
