concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1697-,1.0,0.42,0.40774399999999994,1.0,1.0,1.7977317571640015,0.010060161352157593,0.886,249,0.18875502008032127,0.040160642570281124,0.2127659574468085,0.996,0.999952,0.18875502008032127,1.0,0.05941436177089759,0.00121538623412095,37.52341339636625,37.608848160046094
body_part,entities,264+,0.998,0.366,0.310288,0.998,0.99992,1.7362470626831055,-0.0014026251155883074,0.87,249,0.24497991967871485,0.09236947791164658,0.3770491803278688,0.992,0.999808,0.23694779116465864,0.9672131147540983,0.059701272632082115,0.0,36.38006260994754,36.483456440742366
cognition,verbs,562+,1.0,0.678,0.7791359999999999,1.0,1.0,1.653384804725647,-0.001246657338924706,0.758,249,0.43775100401606426,0.42168674698795183,0.963302752293578,0.998,0.999984,0.43775100401606426,1.0,0.06036553014418566,0.0,40.674686109238635,40.27355295112133
color,attributes,632+,1.0,0.696,0.7813599999999999,1.0,1.0,1.6080251932144165,-0.007965154945850372,0.892,249,0.05622489959839357,0.03614457831325301,0.6428571428571429,0.994,0.9999359999999999,0.05622489959839357,1.0,0.048277191500061704,0.011877384100281304,43.610381621481764,43.95301353269893
desire_intention,verbs,1199+,1.0,0.62,0.646496,1.0,1.0,1.6875931024551392,0.00319668254815042,0.752,250,0.216,0.152,0.7037037037037037,1.0,1.0,0.216,1.0,0.07175347398063778,0.012929212472988998,37.03053809931801,36.83323231999526
eating_drinking,verbs,1059-,1.0,0.402,0.390448,1.0,1.0,1.6945476531982422,-0.006794848013669252,0.89,250,0.204,0.016,0.0784313725490196,1.0,1.0,0.204,1.0,0.061641807876940784,0.0,38.11720587583865,38.41185665203393
family_relation,entities,400+,0.998,0.342,0.207248,0.998,1.0,1.8015953302383423,0.0036696777679026127,0.842,247,0.22267206477732793,0.02834008097165992,0.12727272727272726,0.992,0.999264,0.21862348178137653,0.9818181818181818,0.05595188419529424,0.0,38.5519117684321,38.748733129146
female_pronoun,grammar,153+,1.0,0.512,0.5255679999999999,1.0,1.0,1.9357941150665283,-0.008180246688425541,0.604,250,0.624,0.212,0.33974358974358976,0.896,0.958496,0.58,0.9294871794871795,0.055020216139786395,0.01662513650079363,38.64600709127644,38.76595253894571
first_person_pronoun,grammar,909-,1.0,0.408,0.387264,1.0,1.0,1.8406013250350952,-0.014497430995106697,0.756,249,0.42168674698795183,0.19678714859437751,0.4666666666666667,0.99,0.999552,0.41767068273092367,0.9904761904761905,0.058915155296577905,0.0,38.656307743314684,39.0132704978603
food_drink,entities,1059-,1.0,0.486,0.47699199999999997,1.0,1.0,1.7804293632507324,-0.004567191936075687,0.818,250,0.344,0.16,0.46511627906976744,0.988,0.999856,0.332,0.9651162790697675,0.0566723884144972,0.0,39.833851312404605,40.02279791947371
