concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,1697-,500,0.886,0.886,0.891952,0.8768898488120951,0.9530516431924883,0.812,1.0,1.0,0.01,0.886,0.938,0.938,0.966,0.98,0.472,0.5221
body_part,entities,True,264+,500,0.87,0.87,0.874,0.8526077097505669,0.9842931937172775,0.752,0.998,0.99992,0.01,0.87,0.874,0.962,0.98,0.98,0.46,0.5195
cognition,verbs,True,562+,500,0.758,0.758,0.766944,0.6982543640897756,0.9271523178807947,0.56,1.0,1.0,0.01,0.758,0.852,0.936,0.956,0.968,0.47,0.5285
color,attributes,True,632+,500,0.892,0.892,0.947424,0.896551724137931,0.8602941176470589,0.936,1.0,1.0,0.01,0.892,0.944,0.948,0.962,0.964,0.54,0.524
desire_intention,verbs,True,1199+,500,0.752,0.752,0.8323039999999999,0.7578125,0.7404580152671756,0.776,1.0,1.0,0.01,0.752,0.85,0.842,0.946,0.968,0.5,0.5212
eating_drinking,verbs,True,1059-,500,0.89,0.89,0.8953439999999999,0.8785871964679912,0.9802955665024631,0.796,1.0,1.0,0.01,0.89,0.902,0.926,0.992,0.992,0.54,0.5395000000000001
family_relation,entities,True,400+,500,0.842,0.8420000000000001,0.8586720000000001,0.8301075268817204,0.8976744186046511,0.772,0.998,1.0,0.01,0.842,0.862,0.904,0.936,0.944,0.512,0.51
female_pronoun,grammar,True,153+,500,0.604,0.604,0.592768,0.48704663212435234,0.6911764705882353,0.376,1.0,1.0,0.01,0.604,0.672,0.738,0.738,0.766,0.486,0.5114000000000001
first_person_pronoun,grammar,True,909-,500,0.756,0.756,0.762768,0.7024390243902439,0.9,0.576,1.0,1.0,0.01,0.756,0.814,0.876,0.924,0.936,0.512,0.5116
food_drink,entities,True,1059-,500,0.818,0.8180000000000001,0.82008,0.7828162291169452,0.9704142011834319,0.656,1.0,1.0,0.01,0.818,0.854,0.894,0.918,0.912,0.532,0.5099000000000001
helping_prosocial,verbs,True,1897+,500,0.748,0.748,0.755624,0.6785714285714286,0.9366197183098591,0.532,1.0,1.0,0.01,0.748,0.794,0.91,0.956,0.974,0.462,0.5180999999999999
human_person,entities,True,1100-,500,0.822,0.8220000000000001,0.8335039999999999,0.8110403397027601,0.8642533936651584,0.764,1.0,1.0,0.1,0.822,0.822,0.89,0.896,0.898,0.526,0.5082000000000001
inside_dialogue,grammar,True,1387+,500,0.636,0.636,0.636616,0.48295454545454547,0.8333333333333334,0.34,0.998,0.9986079999999999,0.01,0.636,0.736,0.788,0.838,0.858,0.494,0.5051000000000001
male_pronoun,grammar,True,463+,500,0.562,0.5619999999999999,0.5706559999999999,0.4988558352402746,0.5828877005347594,0.436,1.0,1.0,0.01,0.562,0.594,0.692,0.724,0.734,0.508,0.5009
motion,verbs,True,859-,500,0.868,0.868,0.873344,0.8506787330316742,0.9791666666666666,0.752,0.998,1.0,0.01,0.868,0.898,0.926,0.938,0.978,0.496,0.5136999999999999
nature_weather,entities,True,363+,500,0.728,0.728,0.736224,0.6565656565656566,0.8904109589041096,0.52,1.0,1.0,0.01,0.728,0.76,0.824,0.87,0.896,0.518,0.5074
negation,grammar,True,962-,500,0.816,0.8160000000000001,0.8181920000000001,0.7788461538461539,0.9759036144578314,0.648,1.0,1.0,0.01,0.816,0.846,0.908,0.94,0.966,0.508,0.5302
negative_emotion,attributes,True,999+,500,0.822,0.8220000000000001,0.846288,0.8052516411378556,0.8888888888888888,0.736,1.0,1.0,0.01,0.822,0.878,0.876,0.946,0.946,0.488,0.5258
perception,verbs,True,261+,500,0.742,0.742,0.74904,0.6814814814814815,0.8903225806451613,0.552,1.0,1.0,0.01,0.742,0.844,0.878,0.914,0.946,0.496,0.5188999999999999
place_location,entities,True,1747+,500,0.944,0.944,0.9614079999999999,0.9435483870967742,0.9512195121951219,0.936,1.0,1.0,0.01,0.944,0.932,0.936,0.94,0.948,0.512,0.5342
positive_emotion,attributes,True,1627-,500,0.784,0.784,0.80288,0.775,0.808695652173913,0.744,0.998,1.0,0.01,0.784,0.842,0.832,0.906,0.908,0.494,0.5271
size,attributes,True,1853-,500,0.72,0.72,0.727296,0.7535211267605634,0.6729559748427673,0.856,1.0,1.0,0.01,0.72,0.738,0.748,0.8,0.826,0.486,0.5077
speech,verbs,True,1035+,500,0.882,0.882,0.88712,0.869757174392936,0.9704433497536946,0.788,1.0,1.0,0.01,0.882,0.944,0.942,0.946,0.96,0.502,0.5221000000000001
toy_play_object,entities,True,1142+,500,0.66,0.66,0.675008,0.6082949308755761,0.717391304347826,0.528,1.0,1.0,0.01,0.66,0.662,0.666,0.734,0.728,0.46,0.51
