concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,737-,500,0.648,0.648,0.6482479999999999,0.4601226993865031,0.9868421052631579,0.3,1.0,1.0,0.01,0.648,0.772,0.864,0.898,0.908,0.514,0.5061
body_part,entities,True,1791-,500,0.73,0.73,0.7391519999999999,0.6493506493506493,0.9259259259259259,0.5,0.998,0.999952,0.01,0.73,0.912,0.964,0.98,0.978,0.496,0.5091
cognition,verbs,True,1478-,500,0.708,0.708,0.7117119999999999,0.6178010471204188,0.8939393939393939,0.472,1.0,1.0,0.01,0.708,0.81,0.85,0.882,0.92,0.504,0.5148
color,attributes,True,1007+,500,0.804,0.804,0.80656,0.7609756097560976,0.975,0.624,1.0,1.0,0.01,0.804,0.908,0.93,0.956,0.964,0.53,0.5039
desire_intention,verbs,True,542+,500,0.762,0.762,0.77008,0.7017543859649122,0.9395973154362416,0.56,1.0,1.0,0.01,0.762,0.834,0.902,0.934,0.936,0.512,0.5123000000000001
eating_drinking,verbs,True,217-,500,0.716,0.716,0.7181919999999999,0.6120218579234973,0.9655172413793104,0.448,1.0,1.0,0.01,0.716,0.846,0.874,0.884,0.956,0.522,0.5124000000000001
family_relation,entities,True,1855-,500,0.746,0.746,0.731344,0.7080459770114943,0.8324324324324325,0.616,1.0,1.0,0.01,0.746,0.83,0.846,0.894,0.912,0.482,0.5158
female_pronoun,grammar,True,1714+,500,0.742,0.742,0.7416320000000001,0.6541554959785523,0.991869918699187,0.488,1.0,1.0,0.01,0.742,0.784,0.776,0.816,0.828,0.53,0.5035
first_person_pronoun,grammar,True,34+,500,0.68,0.6799999999999999,0.6813759999999999,0.5348837209302325,0.9787234042553191,0.368,1.0,1.0,0.01,0.68,0.77,0.862,0.906,0.904,0.502,0.5101
food_drink,entities,True,492-,500,0.866,0.866,0.8734080000000001,0.849438202247191,0.9692307692307692,0.756,1.0,1.0,0.01,0.866,0.904,0.904,0.912,0.922,0.54,0.5052000000000001
helping_prosocial,verbs,True,1525-,500,0.674,0.6739999999999999,0.6739999999999999,0.516320474777448,1.0,0.348,1.0,1.0,0.01,0.674,0.828,0.936,0.946,0.96,0.474,0.5102
human_person,entities,True,1855-,500,0.63,0.63,0.630928,0.42724458204334365,0.9452054794520548,0.276,1.0,1.0,0.01,0.63,0.736,0.778,0.802,0.824,0.512,0.5024
inside_dialogue,grammar,True,569-,500,0.678,0.6779999999999999,0.6779999999999999,0.5250737463126843,1.0,0.356,0.998,0.99984,0.01,0.678,0.714,0.79,0.812,0.82,0.5,0.5024
male_pronoun,grammar,True,747-,500,0.634,0.634,0.6389760000000001,0.5611510791366906,0.7005988023952096,0.468,1.0,1.0,0.01,0.634,0.634,0.644,0.7,0.704,0.494,0.5018
motion,verbs,True,1103+,500,0.694,0.694,0.6932799999999999,0.5785123966942148,0.9292035398230089,0.42,1.0,1.0,0.01,0.694,0.81,0.86,0.914,0.916,0.492,0.5057
nature_weather,entities,True,1639-,500,0.674,0.6739999999999999,0.6758559999999999,0.5247813411078717,0.967741935483871,0.36,1.0,1.0,0.01,0.674,0.772,0.848,0.862,0.862,0.518,0.5069
negation,grammar,True,422-,500,0.728,0.728,0.728848,0.6304347826086957,0.9830508474576272,0.464,1.0,1.0,0.01,0.728,0.738,0.856,0.962,0.982,0.504,0.5084000000000002
negative_emotion,attributes,True,1090-,500,0.824,0.8240000000000001,0.8286640000000001,0.7914691943127962,0.9709302325581395,0.668,1.0,1.0,0.01,0.824,0.926,0.924,0.934,0.962,0.538,0.5061
perception,verbs,True,1485-,500,0.62,0.62,0.620424,0.391025641025641,0.9838709677419355,0.244,1.0,1.0,0.01,0.62,0.726,0.92,0.942,0.944,0.476,0.5035000000000001
place_location,entities,True,1649+,500,0.762,0.762,0.762848,0.6940874035989717,0.9712230215827338,0.54,1.0,1.0,0.01,0.762,0.818,0.844,0.946,0.948,0.508,0.5037
positive_emotion,attributes,True,272-,500,0.624,0.624,0.621312,0.43373493975903615,0.8780487804878049,0.288,1.0,1.0,0.01,0.624,0.702,0.726,0.742,0.77,0.474,0.5033999999999998
size,attributes,True,1369-,500,0.672,0.672,0.699,0.5879396984924623,0.7905405405405406,0.468,1.0,1.0,0.01,0.672,0.744,0.814,0.816,0.816,0.498,0.506
speech,verbs,True,1014-,500,0.882,0.882,0.884928,0.8674157303370786,0.9897435897435898,0.772,1.0,1.0,0.01,0.882,0.926,0.928,0.952,0.952,0.52,0.5085
toy_play_object,entities,True,533-,500,0.646,0.646,0.647104,0.45871559633027525,0.974025974025974,0.3,1.0,1.0,0.01,0.646,0.712,0.76,0.754,0.78,0.486,0.5076999999999999
