concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,604-,1.0,0.5,0.6532640000000001,1.0,1.0,1.4577257633209229,0.004619100131094456,0.784,249,0.40963855421686746,0.40963855421686746,1.0,0.992,0.99936,0.40562248995983935,0.9901960784313726,0.0684474736011159,0.010394571510365427,32.52214529175588,32.09597895704851
body_part,entities,1197-,0.998,0.502,0.38083199999999995,0.998,1.0,1.4035695791244507,-0.0029211975634098053,0.752,249,0.4738955823293173,0.4738955823293173,1.0,0.992,0.999872,0.46987951807228917,0.9915254237288136,0.07479866904467984,0.042607647239535786,28.29207389828005,28.36584943251416
cognition,verbs,851+,1.0,0.5,0.49302399999999996,1.0,1.0,1.3787471055984497,0.004813548177480698,0.814,250,0.328,0.328,1.0,1.0,1.0,0.328,1.0,0.07157536056671239,0.013865088364369206,29.232152336459997,29.167210764743317
color,attributes,1648+,1.0,0.5,0.566624,1.0,1.0,1.3444846868515015,0.002703901380300522,0.812,249,0.3534136546184739,0.3534136546184739,1.0,0.994,0.999936,0.3534136546184739,1.0,0.06471805037912322,1.555033091203164e-05,31.377543338798382,31.38740390914882
desire_intention,verbs,1201-,1.0,0.5,0.580256,1.0,1.0,1.3979665040969849,-0.001366706332191825,0.954,250,0.064,0.064,1.0,0.996,0.999984,0.06,0.9375,0.07488728126762254,0.0,28.68586337127371,28.78882968764456
eating_drinking,verbs,1034+,1.0,0.5,0.500864,1.0,1.0,1.3717029094696045,-0.0034540346823632717,0.848,250,0.252,0.252,1.0,1.0,1.0,0.252,1.0,0.07216740261855455,0.008759216246585221,30.060555451596592,29.836663673167465
family_relation,entities,1197-,1.0,0.5,0.609056,1.0,1.0,1.506382942199707,0.020322460681200027,0.842,246,0.3008130081300813,0.3008130081300813,1.0,0.978,0.99712,0.2764227642276423,0.918918918918919,0.07754636802919077,0.05184112461091119,26.975834476439857,27.052628775118695
female_pronoun,grammar,753-,1.0,0.5,0.5646720000000001,1.0,1.0,1.5848585367202759,0.006415778771042824,0.602,250,0.376,0.004,0.010638297872340425,0.896,0.9548479999999999,0.332,0.8829787234042553,0.11060042611399308,0.0,17.456677479420023,17.60280667780938
first_person_pronoun,grammar,729+,1.0,0.5,0.47448,1.0,1.0,1.4868124723434448,-0.006496141664683819,0.802,250,0.364,0.364,1.0,0.982,0.99904,0.352,0.967032967032967,0.0772280198463757,0.0379716958953806,29.056696636591237,28.767267800018292
food_drink,entities,865+,1.0,0.5,0.618896,1.0,1.0,1.4361194372177124,-0.003181868465617299,0.812,250,0.16,0.16,1.0,0.996,0.999968,0.156,0.975,0.06174502436952134,0.03008839509608829,33.20996684977918,32.90170884532042
helping_prosocial,verbs,1636+,1.0,0.5,0.33580799999999994,1.0,1.0,1.3654489517211914,-0.010024720802903175,0.816,249,0.3092369477911647,0.3092369477911647,1.0,0.998,0.999968,0.30522088353413657,0.987012987012987,0.0723538524697766,0.0,27.713330185270564,27.419614145930915
human_person,entities,582-,1.0,0.5,0.41128,1.0,1.0,1.4637428522109985,0.010062730871140957,0.768,249,0.41365461847389556,0.41365461847389556,1.0,0.978,0.9973600000000001,0.40160642570281124,0.970873786407767,0.0690496812363821,0.014041627577797648,29.28902769599045,29.322062880578983
inside_dialogue,grammar,1189-,0.992,0.5,0.534304,0.992,0.998784,1.4234181642532349,6.813067011535168e-05,0.666,246,0.6544715447154471,0.6422764227642277,0.9813664596273292,0.932,0.97224,0.6056910569105691,0.9254658385093167,0.07802979871552727,0.008025773178118306,26.208036439203646,26.206808943488177
male_pronoun,grammar,753-,1.0,0.5,0.46822400000000003,1.0,1.0,1.5733593702316284,0.005784399341791868,0.586,250,0.404,0.0,0.0,0.836,0.912768,0.3,0.7425742574257426,0.1619434748755509,0.0,11.366167040070874,11.736337542710798
motion,verbs,416+,1.0,0.502,0.5239039999999999,1.0,1.0,1.3878264427185059,-0.005021754652261734,0.982,249,0.028112449799196786,0.028112449799196786,1.0,0.996,0.998992,0.028112449799196786,1.0,0.09086252417110896,0.0869423737072293,24.794439924210046,24.868351713574192
nature_weather,entities,652+,1.0,0.502,0.412384,1.0,1.0,1.399682879447937,-0.0038432038854807615,0.7,250,0.556,0.008,0.014388489208633094,0.978,0.998352,0.548,0.9856115107913669,0.13093382356861868,0.0,14.241069906629349,14.532429246955767
negation,grammar,422-,1.0,0.5,0.60216,1.0,1.0,1.4293574094772339,-0.009417995810508728,0.814,250,0.328,0.328,1.0,1.0,1.0,0.328,1.0,0.07111669452153739,0.0,29.407331790009394,29.285325534708992
negative_emotion,attributes,695-,1.0,0.5,0.333904,1.0,1.0,1.3858689069747925,0.010345623828470707,0.864,250,0.228,0.228,1.0,0.996,1.0,0.228,1.0,0.07880841414092046,0.034286410543079335,27.061441259674066,27.255288170508678
perception,verbs,730+,1.0,0.5,0.437216,1.0,1.0,1.415717601776123,-0.0029191169887781143,0.748,250,0.452,0.0,0.0,1.0,1.0,0.452,1.0,0.172271050982244,0.0,11.507887803290568,11.61114797700369
place_location,entities,1149-,1.0,0.5,0.7339199999999999,1.0,1.0,1.4194072484970093,0.0007640288094989955,0.798,248,0.31451612903225806,0.0,0.0,0.994,0.9996320000000001,0.31048387096774194,0.9871794871794872,0.1720296142636412,0.0,10.457475479556347,10.651884030565107
positive_emotion,attributes,811-,1.0,0.5,0.300832,1.0,1.0,1.3758151531219482,-0.0025906271766871214,0.744,247,0.39271255060728744,0.39271255060728744,1.0,0.992,0.998336,0.39271255060728744,1.0,0.07308364318263293,0.0,28.43477124831783,28.570420973809355
