concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,107-,500,0.93,0.9299999999999999,0.9390399999999999,0.9278350515463918,0.9574468085106383,0.9,0.998,1.0,0.01,0.93,0.918,0.96,0.96,0.96,0.504,0.5195
body_part,entities,True,1660+,500,0.762,0.762,0.7940320000000001,0.7313769751693002,0.8393782383419689,0.648,0.998,1.0,0.01,0.762,0.766,0.938,0.964,0.972,0.444,0.5356
cognition,verbs,True,1607+,500,0.876,0.876,0.90864,0.8734693877551021,0.8916666666666667,0.856,1.0,1.0,0.01,0.876,0.882,0.964,0.978,0.974,0.49,0.5225000000000001
color,attributes,True,1513-,500,0.868,0.8680000000000001,0.952368,0.8759398496240601,0.8262411347517731,0.932,1.0,1.0,0.01,0.868,0.954,0.952,0.97,0.972,0.494,0.53
desire_intention,verbs,True,1835-,500,0.87,0.87,0.921208,0.8648648648648649,0.9004329004329005,0.832,1.0,1.0,0.01,0.87,0.866,0.886,0.986,0.994,0.504,0.5159999999999999
eating_drinking,verbs,True,114+,500,0.9,0.8999999999999999,0.9095999999999999,0.8917748917748918,0.9716981132075472,0.824,1.0,1.0,0.01,0.9,0.97,0.982,0.984,0.992,0.536,0.5232
family_relation,entities,True,1245-,500,0.956,0.956,0.9752159999999999,0.9558232931726908,0.9596774193548387,0.952,1.0,1.0,0.01,0.956,0.964,0.962,0.966,0.97,0.476,0.5118
female_pronoun,grammar,True,789-,500,0.572,0.5720000000000001,0.610528,0.5931558935361216,0.5652173913043478,0.624,1.0,1.0,0.01,0.572,0.64,0.816,0.868,0.91,0.514,0.5158000000000001
first_person_pronoun,grammar,True,1769+,500,0.858,0.8580000000000001,0.869792,0.8479657387580299,0.9124423963133641,0.792,1.0,1.0,0.01,0.858,0.886,0.916,0.958,0.96,0.498,0.5307
food_drink,entities,True,1775+,500,0.906,0.906,0.9494239999999999,0.9087378640776699,0.8830188679245283,0.936,1.0,1.0,0.01,0.906,0.916,0.952,0.956,0.96,0.552,0.5183
helping_prosocial,verbs,True,573-,500,0.762,0.762,0.787216,0.7384615384615385,0.8195121951219512,0.672,1.0,1.0,0.01,0.762,0.848,0.934,0.962,0.97,0.486,0.5172
human_person,entities,True,107-,500,0.84,0.8400000000000001,0.874752,0.8455598455598455,0.8171641791044776,0.876,1.0,1.0,0.01,0.84,0.876,0.902,0.926,0.926,0.536,0.5303000000000001
inside_dialogue,grammar,True,688-,500,0.674,0.6739999999999999,0.675904,0.527536231884058,0.9578947368421052,0.364,0.996,0.999872,0.01,0.674,0.734,0.802,0.832,0.864,0.494,0.5101
male_pronoun,grammar,True,925+,500,0.56,0.56,0.5773680000000001,0.5634920634920635,0.5590551181102362,0.568,1.0,1.0,0.01,0.56,0.612,0.656,0.666,0.666,0.502,0.5189999999999999
motion,verbs,True,581-,500,0.862,0.862,0.8827599999999999,0.8571428571428571,0.8884120171673819,0.828,1.0,1.0,0.01,0.862,0.856,0.896,0.986,0.992,0.506,0.5307999999999999
nature_weather,entities,True,1132-,500,0.778,0.778,0.8141120000000001,0.7701863354037267,0.7982832618025751,0.744,1.0,1.0,0.01,0.778,0.836,0.878,0.886,0.892,0.504,0.522
negation,grammar,True,1507+,500,0.958,0.958,0.975224,0.9577464788732394,0.9635627530364372,0.952,1.0,1.0,0.01,0.958,0.966,0.986,0.994,0.998,0.488,0.5356000000000001
negative_emotion,attributes,True,443+,500,0.882,0.882,0.8928159999999999,0.8863198458574181,0.8550185873605948,0.92,1.0,1.0,0.01,0.882,0.89,0.936,0.956,0.944,0.506,0.5326000000000002
perception,verbs,True,1525+,500,0.83,0.8300000000000001,0.853568,0.8210526315789474,0.8666666666666667,0.78,1.0,1.0,0.01,0.83,0.952,0.986,0.99,0.986,0.482,0.5319
place_location,entities,True,1249-,500,0.804,0.804,0.8233280000000001,0.7782805429864253,0.8958333333333334,0.688,1.0,1.0,0.01,0.804,0.918,0.918,0.932,0.944,0.536,0.5297000000000001
positive_emotion,attributes,True,1911+,500,0.726,0.726,0.7651760000000001,0.7370441458733206,0.7084870848708487,0.768,0.998,1.0,0.01,0.726,0.756,0.818,0.974,0.988,0.49,0.5377
size,attributes,True,250+,500,0.85,0.85,0.89332,0.8514851485148515,0.8431372549019608,0.86,1.0,1.0,0.01,0.85,0.86,0.892,0.942,0.952,0.486,0.5283
speech,verbs,True,1146-,500,0.848,0.8480000000000001,0.877544,0.8376068376068376,0.8990825688073395,0.784,1.0,1.0,0.01,0.848,0.918,0.932,0.948,0.954,0.51,0.5281
toy_play_object,entities,True,968-,500,0.786,0.786,0.8120319999999999,0.7914230019493177,0.7718631178707225,0.812,1.0,1.0,0.01,0.786,0.808,0.838,0.856,0.86,0.486,0.5141
