concept,group,core,best_feature,n_test,top1_accuracy,top1_balanced_accuracy,top1_auroc,top1_f1,top1_precision,top1_recall,residual_accuracy,residual_auroc,residual_C,acc_k1,acc_k2,acc_k4,acc_k8,acc_k16,shuffled_label_accuracy,random_feature_accuracy
animal,entities,True,306-,500,0.65,0.65,0.649552,0.5308310991957105,0.8048780487804879,0.396,1.0,1.0,0.01,0.65,0.762,0.81,0.868,0.89,0.508,0.5109
body_part,entities,True,739+,500,0.782,0.782,0.783024,0.72264631043257,0.993006993006993,0.568,0.998,0.999952,0.01,0.782,0.946,0.962,0.966,0.976,0.508,0.5044000000000001
cognition,verbs,True,1745-,500,0.758,0.758,0.7590239999999999,0.6824146981627297,0.9923664122137404,0.52,1.0,1.0,0.01,0.758,0.894,0.912,0.916,0.914,0.504,0.5054000000000001
color,attributes,True,60+,500,0.896,0.8959999999999999,0.9133759999999999,0.8898305084745762,0.9459459459459459,0.84,1.0,1.0,0.01,0.896,0.914,0.916,0.936,0.938,0.52,0.5039
desire_intention,verbs,True,583-,500,0.698,0.698,0.6966239999999999,0.5929919137466307,0.9090909090909091,0.44,1.0,1.0,0.01,0.698,0.744,0.862,0.918,0.964,0.496,0.5045000000000001
eating_drinking,verbs,True,761-,500,0.788,0.788,0.7902560000000001,0.7336683417085427,0.9864864864864865,0.584,1.0,1.0,0.01,0.788,0.838,0.836,0.89,0.95,0.494,0.5121
family_relation,entities,True,916+,500,0.728,0.728,0.735384,0.6512820512820513,0.9071428571428571,0.508,1.0,1.0,0.01,0.728,0.8,0.876,0.92,0.93,0.5,0.5018999999999999
female_pronoun,grammar,True,1319+,500,0.614,0.614,0.6161439999999999,0.5063938618925832,0.7021276595744681,0.396,1.0,1.0,0.01,0.614,0.648,0.744,0.756,0.766,0.49,0.5056999999999999
first_person_pronoun,grammar,True,466+,500,0.746,0.746,0.746256,0.6631299734748011,0.984251968503937,0.5,1.0,1.0,0.01,0.746,0.858,0.894,0.924,0.926,0.514,0.5092
food_drink,entities,True,1102+,500,0.828,0.828,0.8550399999999999,0.8300395256916996,0.8203125,0.84,1.0,1.0,0.01,0.828,0.872,0.886,0.906,0.904,0.528,0.5069
helping_prosocial,verbs,True,626+,500,0.69,0.69,0.692368,0.5658263305322129,0.9439252336448598,0.404,1.0,1.0,0.01,0.69,0.778,0.836,0.868,0.896,0.5,0.5092
human_person,entities,True,1049-,500,0.642,0.642,0.6440319999999999,0.4750733137829912,0.8901098901098901,0.324,1.0,1.0,0.1,0.642,0.696,0.704,0.828,0.842,0.506,0.5126
inside_dialogue,grammar,True,28-,500,0.7,0.7,0.699656,0.5738636363636364,0.9901960784313726,0.404,0.998,0.9997600000000001,0.01,0.7,0.75,0.794,0.834,0.85,0.51,0.5042000000000001
male_pronoun,grammar,True,1319+,500,0.598,0.598,0.59528,0.4806201550387597,0.6788321167883211,0.372,1.0,1.0,0.01,0.598,0.61,0.614,0.65,0.65,0.482,0.5024
motion,verbs,True,764-,500,0.774,0.774,0.774,0.7080103359173127,1.0,0.548,1.0,1.0,0.01,0.774,0.846,0.878,0.894,0.93,0.504,0.5065999999999999
nature_weather,entities,True,306-,500,0.628,0.628,0.6321999999999999,0.5105263157894737,0.7461538461538462,0.388,1.0,1.0,0.01,0.628,0.704,0.788,0.84,0.852,0.498,0.5048000000000001
negation,grammar,True,1536-,500,0.784,0.784,0.783752,0.7258883248730964,0.9930555555555556,0.572,1.0,1.0,0.01,0.784,0.786,0.926,0.956,0.952,0.498,0.5077
negative_emotion,attributes,True,58+,500,0.784,0.784,0.775528,0.7391304347826086,0.9329268292682927,0.612,1.0,1.0,0.01,0.784,0.832,0.898,0.928,0.928,0.534,0.5067
perception,verbs,True,1431-,500,0.676,0.6759999999999999,0.67704,0.5263157894736842,0.9782608695652174,0.36,1.0,1.0,0.01,0.676,0.784,0.846,0.94,0.952,0.464,0.5085
place_location,entities,True,1241-,500,0.794,0.794,0.7959040000000001,0.7565011820330969,0.9248554913294798,0.64,1.0,1.0,0.01,0.794,0.828,0.878,0.886,0.892,0.518,0.5042
positive_emotion,attributes,True,1100-,500,0.714,0.714,0.716752,0.6124661246612466,0.9495798319327731,0.452,1.0,1.0,0.01,0.714,0.726,0.838,0.926,0.934,0.508,0.5065000000000001
size,attributes,True,159+,500,0.794,0.794,0.790544,0.7506053268765133,0.950920245398773,0.62,1.0,1.0,0.01,0.794,0.82,0.872,0.904,0.906,0.51,0.5094000000000001
speech,verbs,True,1014-,500,0.864,0.864,0.865464,0.8433179723502304,0.9945652173913043,0.732,1.0,1.0,0.01,0.864,0.886,0.936,0.946,0.946,0.486,0.5065999999999999
toy_play_object,entities,True,1604-,500,0.654,0.6539999999999999,0.6539999999999999,0.5126760563380282,0.8666666666666667,0.364,1.0,1.0,0.01,0.654,0.706,0.706,0.772,0.798,0.486,0.5113
